content	lable
"그림은 물체 A, B, C, D가 실로 연결되어 가속도의 크기가 a1인 등가속도 운동을 하고 있는 것을 나타낸 것이다. 실 p를 끊으면 A는 등속도 운동을 하고, 이후 실 q를 끊으면 A는 가속도의 크기가 a2인 등가속도 운동을 한다. p를 끊은 후 C와, q를 끊은 후 D의 가속도의 크기는 서로 같다. A, B, C, D의 질량은 각각 4m, 3m, 2m, m이다"	1
"그림은 관찰자 A에 대해 관찰자 B가 탄 우주선이 x축과 나란하게 광속에 가까운 속력으로 등속도 운동을 하고 있는 모습을 나타낸 것이다. B의 관성계에서 빛은 광원으로부터 각각 +x방향, -y방향 으로 동시에 방출된 후 거울 p, q에서 반사하여 광원에 동시에 도달하며 광원과 q 사이의 거리는 L이다. 표는 A의 관성계에서 빛이 광원에서 p까지, p에서 광원까지 가는 데 걸린 시간을 나타낸 것이다"	3
"그림과 같이 두 개의 스피커에서 진폭과 진동수가 동일한 소리를 발생시키면 x=0에서 보강 간섭이 일어난다. 소리의 진동수가 f1, f2일 때 x축상에서 x=0으로부터 첫 번째 보강 간섭이 일어난 지점 까지의 거리는 각각 2d, 3d이다."	6
다음은 빛의 성질을 알아보는 실험이다	6
"그림 (가)와 같이 마찰이 없는 수평면에서 물체 A, B, C가 등속도 운동을 한다. A와 C는 같은 속력으로 B를 향해 운동하고, B의 속력은 4m/s이다. A, B, C의 질량은 각각 3kg, 2kg, 2kg 이다. 그림 (나)는 (가)에서 B와 C 사이의 거리를 시간 t에 따라 나타낸 것이다. A, B, C는 동일 직선상에서 운동한다"	1
"그림 (가)와 같이 중심이 원점 O인 원형 도선 P와 무한히 긴 직선 도선 Q, R가 xy평면에 고정되어 있다. P에는 세기가 일정한 전류가 흐르고, Q에는 세기가 I0인 전류가 -x방향으로 흐르고 있다. 그림 (나)는 (가)의 O에서 P, Q, R의 전류에 의한 자기장의 세기 B를 R에 흐르는 전류의 세기 IR에 따라 나타낸 것으로, I0 = IR일 때 O에서 자기장의 방향은 xy평면에서 수직으로 나오는 방향이고, 세기는 B1이다"	5
"그림 (가)는 x축상에 고정된 점전하 A, B, C를 나타낸 것으로 B에 작용하는 전기력의 방향은 +x방향이고, C에 작용하는 전기력은 0이다. 그림 (나)는 (가)에서 A, B의 위치만 바꾸어 고정시킨 것을 나타낸 것이다. A는 양(+)전하이다"	4
"그림과 같이 수평 구간 Ⅰ에서 물체 A, B를 용수철의 양 끝에 접촉하여 용수철을 원래 길이에서 d만큼 압축시킨 후 동시에 가만히 놓으면, A는 높이 h에서 속력이 0이고, B는 높이가 3h인 마찰이 있는 수평 구간 Ⅱ에서 정지한다. A, B의 질량은 각각 2m, m이고, 용수철 상수는 k이다"	2
"그림은 물체 A, B, C의 운동에 대한 설명이다"	1
"그림 (가)는 전자기파를 진동수에 따라 분류한 것이고, (나)는 전자기파 ㉠, ㉡을 이용한 장치를 나타낸 것이다."	6
그림은 우라늄 원자핵과 중성자가 반응하여 크립톤 원자핵과 원자핵 A가 생성되면서 중성자 3개와 에너지를 방출하는 핵반응을 나타낸 것이다	3
"그림은 빛에 의한 현상 A, B, C를 나타낸 것이다"	7
"표는 고체 A, B의 에너지띠 구조와 전기 전도도를 나타낸 것이다. A, B는 반도체, 절연체를 순서 없이 나타낸 것이다"	4
"그림은 물체 A가 v0의 속력으로 등속도 운동을 하다가 정지해 있는 물체 B와 충돌한 후 A, B가 같은 방향으로 각각 등속도 운동을 하는 모습을 나타낸 것이다. A, B의 질량은 각각 3m, m이고, 충돌 후 속력은 B가 A의 2배이다."	1
"그림은 열효율이 0.4인 열기관에서 일정량의 이상 기체의 상태가 A → B → C→D→A를 따라 변할 때 기체의 압력과 부피를 나타낸 것이다. A → B는 기체의 압력이 일정한 과정, C → D는 기체의 부피가 일정한 과정, B → C와 D → A는 단열 과정이다. A → B 과정에서 기체가 흡수한 열량은 Q0이다"	2
"그림과 같이 관찰자 A에 대해 광원 P와 Q, 검출기가 정지해 있고, 관찰자 B가 탄 우주선이 P와 검출기를 잇는 직선과 나란하게 0.8c의 속력으로 운동한다. A의 관성계에서는 P, Q에서 동시에 발생한 빛이 검출기에 동시에 도달한다"	3
"그림은 보어의 수소 원자 모형에서 양자수 n에 따른 에너지 준위의 일부와 전자의 전이 A, B, C를 나타낸 것이다"	4
"그림 (가)는 물체 A와 질량이 m인 물체 B를 실로 연결한 후, 손이 A에 연직 아래 방향으로 일정한 힘 F를 가해 A, B가 정지한 모습을 나타낸 것이다. 실이 A를 당기는 힘의 크기는 F의 크기의 3배이다. 그림 (나)는 (가)에서 A를 놓은 순간부터 A, B가 가속도의 크기 1/8g로 등가속도 운동을 하는 모습을 나타낸 것이다"	1
"그림과 같이 원형 도선 P와 무한히 긴 직선 도선 Q가 xy평면에 고정되어 있다. Q에는 세기가 I인 전류가 -y방향으로 흐른다. 원점 O는 P의 중심이다. 표는 O에서 P, Q에 흐르는 전류에 의한 자기장의 세기를 P에 흐르는 전류에 따라 나타낸 것이다"	5
"그림 (가)와 같이 천장에 실로 연결된 자석의 연직 아래 수평면에 자기화되지 않은 물체 A를 놓았더니 A가 정지해 있다. 그림 (나)와 같이 (가)에서 자석을 자기화되지 않은 물체 B로 바꾸어 연결하고 A를 이동시켰더니 B가 A쪽으로 기울어져 정지해 있다. B는 상자성체, 반자성체 중 하나이다"	5
그림 (가)와 같이 한 변의 길이가 2d인 직사각형 금속 고리가 xy평면에서 +x방향으로 폭이 d인 균일한 자기장 영역을 향해 운동한다. 균일한 자기장 영역의 자기장은 세기가 일정하고 방향이 xy평면에 수직으로 들어가는 방향이다. 그림 (나)는 금속 고리의 한 점 p의 위치를 시간 t에 따라 나타낸 것이다	5
"그림과 같이 물질 A와 B의 경계면에 50°로 입사한 단색광 P가 전반사하여 A와 물질 C의 경계면에서 굴절한 후, C와 B의 경계면에 입사한다. A와 B 사이의 임계각은 45°이다"	6
"그림 (가)는 진폭이 2cm이고 일정한 속력으로 진행하는 물결파의 어느 순간의 모습을 나타낸 것이다. 실선과 점선은 각각 물결파의 마루와 골이고, 점 P, Q는 평면상의 고정된 지점이다. 그림 (나)는 P에서 물결파의 변위를 시간에 따라 나타낸 것이다"	6
다음은 소리의 간섭 실험이다	6
다음은 전자 현미경에 대한 설명이다.	7
"그림 (가)와 같이 마찰이 없는 빗면에서 가만히 놓은 물체 A가 점 p를 지나 점 q를 v의 속력으로 통과하는 순간, 물체 B를 p에 가만히 놓았다. p와 q 사이의 거리는 L이고, A가 p에서 q까지 운동하는 동안 A의 평균 속력은 4/5v이다. 그림 (나)는 (가)의 A, B가 운동하여 B가 q를 지나는 순간 A가 점 r를 지나는 모습을 나타낸 것이다"	1
"그림 (가)와 같이 점전하 A, B, C가 각각 x=0, x=d, x=2d에 고정되어 있다. 양(+)전하 B에는 +x방향으로 크기가 F인 전기력이 작용한다. 그림 (나)와 같이 (가)의 C를 x=4d로 옮겨 고정시켰더니 B에는 +x방향으로 크기가 2F인 전기력이 작용한다"	4
"그림 (가)는 마찰이 있는 수평면에서 물체와 연결된 용수철을 원래 길이에서 2L만큼 압축하여 물체를 점 p에 정지시킨 모습을 나타낸 것이다. 물체가 p에 있을 때, 용수철에 저장된 탄성 퍼텐셜 에너지는 E0이다. 그림 (나)는 (가)에서 물체를 가만히 놓았더니 물체가 점 q, r를 지나 정지한 순간의 모습을 나타낸 것이다. p와 q 사이, q와 r 사이의 거리는 각각 2L, L이다. (나)에서 물체가 q에서 r까지 운동하는 동안, 물체의 운동 에너지 감소량은 용수철에 저장된 탄성 퍼텐셜 에너지 증가량의 7/5 배이다"	2
그림은 자유 낙하하는 물체 A와 수평으로 던진 물체 B가 운동하는 모습을 나타낸 것이다.	1
"그림은 학생 A가 헬멧을 쓰고, 속력 제한 장치가 있는 전동 스쿠터를 타는 모습을 나타낸 것이다"	1
"그림은 xy평면에 수직인 방향의 자기장 영역에서 정사각형 금속 고리 A, B, C가 각각 +x 방향, -y 방향, +y 방향으로 직선 운동하고 있는 순간의 모습을 나타낸 것이다. 자기장 영역에서 자기장은 일정하고 균일하다."	5
"그림은 카메라로 사람을 촬영하는 모습을 나타낸 것으로, 이 카메라는 가시광선과 전자기파 A를 인식하여 실물 화상과 열화상을 함께 보여준다."	6
다음은 자석 사이에 작용하는 힘에 대한 실험이다	1
다음은 핵융합로와 양전자 방출 단층 촬영 장치에 대한 설명이다	3
그림은 점 P에 정지해 있던 물체가 일정한 알짜힘을 받아 점 Q까지 직선 운동하는 모습을 나타낸 것이다.	1
"그림은 열기관에서 일정량의 이상 기체의 상태가 A → B → C → D → A를 따라 순환하는 동안 기체의 압력과 부피를, 표는 각 과정에서 기체가 흡수 또는 방출하는 열량을 나타낸 것이다."	2
"그림 (가)는 지표면 근처에서 발생한 소리의 진행 경로를 나타낸 것이다. 점 a, b는 소리의 진행 경로상의 지점으로, a에서 소리의 진동수는 ?이다. 그림 (나)는 (가)에서 지표면으로부터의 높이와 소리의 속력과의 관계를 나타낸 것이다."	6
"그림은 수평면에서 충돌하는 물체 A, B의 속도를 시간에 따라 나타낸 것이다. A의 운동 방향은 B와 충돌하기 전과 후가 서로 반대이다. A의 질량은 2kg이다."	1
"그림 (가)는 수소 기체 방전관에 전압을 걸었더니 수소 기체가 에너지를 흡수한 후 빛이 방출되는 모습을, (나)는 보어의 수소 원자 모형에서 양자수 n=2,3,4인 에너지 준위와 (가)에서 일어날 수 있는 전자의 전이 과정 a, b, c를 나타낸 것이다. b, c에서 방출하는 빛의 파장은 각각 lambda b, lambda c이다"	4
"그림 (가)는 직류 전원 장치, 저항, p-n 접합 다이오드, 스위치 S로 구성한 회로를, (나)는 (가)의 다이오드를 구성하는 반도체 X와 Y의 에너지띠 구조를 나타낸 것이다."	4
"그림과 같이 매질 A와 B의 경계면에 입사각 45°로 입사시킨 단색광 X, Y가 굴절하여 각각 B와 공기의 경계면에 있는 점 p와 q로 진행하였다. X, Y는 p, q에 같은 세기로 입사하며, p와 q 중 한 곳에서만 전반사가 일어난다"	6
"그림 (가)는 원형 도선 P와 무한히 긴 직선 도선 Q가 xy 평면에 고정되어 있는 모습을, (나)는 (가)에서 Q만 옮겨 고정시킨 모습을 나타낸 것이다. P, Q에는 각각 화살표 방향으로 세기가 일정한 전류가 흐른다. (가), (나)의 원점 O에서 자기장의 세기는 같고 방향은 반대이다."	5
"그림 (가)와 같이 자석 주위에 자기화되어 있지 않은 자성체 A, B를 놓았더니 자석으로부터 각각 화살표 방향으로 자기력을 받았다. 그림 (나)는 (가)에서 자석을 치운 후 A와 B를 가까이 놓은 모습을 나타낸 것으로, B는 A로부터 자기력을 받는다."	5
"그림 (가)는 전하 결합 소자(CCD)가 내장된 카메라로 빨강 장미를 촬영하는 모습을, (나)는 광학 현미경으로는 관찰할 수 없는 바이러스를 파장이 lambda인 전자의 물질파를 이용해 전자 현미경으로 관찰하는 모습을 나타낸 것이다."	7
"그림과 같이 관찰자 A가 관측했을 때, 정지한 광원에서 빛 p, q가 각각 +x방향과 +y방향으로 동시에 방출된 후 정지한 각 거울에서 반사하여 광원으로 동시에 되돌아온다. 관찰자 B는 A에 대해 0.6c의 속력으로 +x방향으로 이동하고 있다. 표는 B가 측정했을 때, p와 q가 각각 광원에서 거울까지, 거울에서 광원까지 가는 데 걸린 시간을 나타낸 것이다"	3
다음은 소리의 간섭 실험이다.	6
"그림 (가)와 같이 x축상에 점전하 A, B, C를 같은 간격으로 고정시켰더니, 음(-)전하 B는 +x방향으로 전기력을 받고, C가 받는 전기력은 0이 되었다. 그림 (나)와 같이 (가)에서 C를 점전하 D로 바꾸어 같은 지점에 고정시켰더니 A가 받는 전기력이 0이 되었다"	4
"그림 (가)와 같이 수평면에서 용수철 A, B가 양쪽에 수평으로 연결되어 있는 물체를 손으로 잡아 정지시켰다. A, B의 용수철 상수는 각각 100 N/m, 200 N/m이고, A의 늘어난 길이는 0.3 m이며, B의 탄성 퍼텐셜 에너지는 0이다. 그림 (나)와 같이 (가) 에서 손을 가만히 놓았더니 물체가 직선 운동을 하다가 처음으로 정지한 순간 B의 늘어난 길이는 L이다."	2
그림은 파장에 따른 전자기파의 분류를 나타낸 것이다	6
다음은 두 가지 핵반응이다	3
"그림 (가)는 전류가 흐르는 전자석에 철못이 달라붙어 있는 모습을, (나)는 (가)의 철못에 클립이 달라붙은 모습을 나타낸 것이다."	5
다음은 물질의 전기 전도도에 대한 실험이다	4
다음은 빛의 이중성에 대한 내용이다.	7
"표는 물체의 운동 A, B, C에 대한 자료이다"	1
"그림 (가)는 공기에서 유리로 진행하는 빛의 진행 방향을, (나)는 낮에 발생한 소리의 진행 방향을, (다)는 신기루가 보일 때 빛의 진행 방향을 나타낸 것이다"	6
"그림 (가)는 보어의 수소 원자 모형에서 양자수 n에 따른 에너지 준위의 일부와 전자의 전이 a～d를 나타낸 것이다. 그림 (나)는 (가)의 b, c, d에서 방출되는 빛의 스펙트럼을 파장에 따라 나타낸 것이고, ㉠은 c에 의해 나타난 스펙트럼선이다"	4
그림과 같이 질량이 2kg인 물체 A가 3m/s의 속력으로 등속도 운동을 하다가 물체 B와 0.2초 동안 충돌한 후 반대 방향으로 1m/s의 속력으로 등속도 운동을 한다.	1
"그림 (가)는 저울 위에 놓인 물체 A, B가 정지해 있는 모습을, (나)는 (가)의 A에 크기가 F인 힘을 연직 방향으로 가할 때 A, B가 정지해 있는 모습을 나타낸 것이다. 저울에 측정된 힘의 크기는 (나)에서가 (가)에서의 2배이다."	1
"그림 (가)는 자기장 B가 균일한 영역에 금속 고리가 고정되어 있는 것을 나타낸 것이고, (나)는 B의 세기를 시간에 따라 나타낸 것이다. B의 방향은 종이면에 수직으로 들어가는 방향이다"	5
"그림은 열효율이 0.3인 열기관에서 일정량의 이상 기체가 상태 A →B → C →D →A를 따라 순환하는 동안 기체의 압력과 부피를, 표는 각 과정에서 기체가 흡수 또는 방출하는 열량을 나타낸 것이다"	2
"그림 (가)는 진폭이 1cm, 속력이 5cm/s로 같은 두 물결파를 나타낸 것이다. 실선과 점선은 각각 물결파의 마루와 골이고, 점 P, Q, R는 평면상의 고정된 지점이다. 그림 (나)는 R에서 중첩된 물결파의 변위를 시간에 따라 나타낸 것이다"	6
"그림 (가)는 마찰이 없는 수평면에서 물체 A가 정지해 있는 물체 B를 향해 운동하는 모습을 나타낸 것이고, (나)는 A의 위치를 시간에 따라 나타낸 것이다. A, B의 질량은 각각 mA, mB이고, 충돌 후 운동 에너지는 B가 A의 3배이다"	1
"그림 (가), (나)는 각각 물질 X, Y, Z 중 두 물질을 이용하여 만든 광섬유의 코어에 단색광 A를 입사각 theta0으로 입사시킨 모습을 나타낸 것이다. thetai은 X와 Y 사이의 임계각이고, 굴절률은 Z가 X보다 크다"	6
"그림과 같이 xy평면에 고정된 무한히 긴 직선 도선 A, B, C에 세기가 각각 IA, IB, IC로 일정한 전류가 흐르고 있다. B에 흐르는 전류의 방향은 +y방향이고, x축상의 점 p에서 세 도선의 전류에 의한 자기장은 0이다. C에 흐르는 전류의 방향을 반대로 바꾸었더니 p에서 세 도선의 전류에 의한 자기장의 방향은 xy평면에 수직으로 들어가는 방향이 되었다"	5
"그림과 같이 관찰자 P에 대해 관찰자 Q가 탄 우주선이 0.5c의 속력으로 직선 운동하고 있다. P의 관성계에서, Q가 P를 스쳐 지나는 순간 Q로부터 같은 거리만큼 떨어져 있는 광원 A, B에서 빛이 동시에 발생한다"	3
"그림과 같이 질량이 각각 2m, m인 물체 A, B가 동일 직선상에서 크기와 방향이 같은 힘을 받아 각각 등가속도 운동을 하고 있다. A가 점 p를 지날 때, A와 B의 속력은 v로 같고 A와 B 사이의 거리는 d이다. A가 p에서 2d만큼 이동했을 때, B의 속력은 v/2이고 A와 B 사이의 거리는 x이다"	1
"그림 (가)와 같이 x축상에 점전하 A, B, C를 같은 간격으로 고정시켰더니 양(+)전하 A에 작용하는 전기력이 0이 되었다. 그림 (나)와 같이 (가)의 C를 -x방향으로 옮겨 고정시켰더니 B에 작용하는 전기력이 0이 되었다"	4
"그림 (가)와 같이 질량이 각각 2kg, 3kg, 1kg인 물체 A, B, C가 용수철 상수가 200N/m인 용수철과 실에 연결되어 정지해 있다. 수평면에 연직으로 연결된 용수철은 원래 길이에서 0.1m만큼 늘어나 있다. 그림 (나)는 (가)의 C에 연결된 실이 끊어진 후, A가 연직선상에서 운동하여 용수철이 원래 길이에서 0.05m만큼 늘어난 순간의 모습을 나타낸 것이다."	2
그림은 놀이 기구 가 운동하는 모습을 나타낸 것이다	1
"그림은 동일한 미술 작품을 각각 가시광선과 선으로 촬영한 X 사진으로 점선 영역에서 서로 다른 모습이 관찰된다 , ."	6
그림은 0초일 때 진동수가 f이고 진폭이 1cm인 두 파동이 줄을 따라 서로 반대 방향으로 진행하는 모습을 나타낸 것이다. 두 파동의 속력은 같고 줄 위의 점 p는 5초일 때 처음으로 변위의 크기가 2cm 가 된다	6
다음은 상온에서 실시한 고체의 전기 전도성에 대한 실험이다	4
다음은 국제핵융합실험로에 대한 기사의 일부이다	3
"그림과 같이 단색광이 물속에 놓인 유리를 지나면서 점 에 p, q 서 굴절한다. 표는 각 점에서 입사각과 굴절각을 나타낸 것이다"	6
그림과 같이 우주 정거장에 대해 정지한 두 점 P에서 Q까지 우주선이 일정한 속도로 운동한다. 우주 정거장의 관성계에서 관측할 때 P와 Q 사이의 거리는 3광년이고 우주선이 P에서 방출한 빛은 우주선보다 2년 먼저 Q에 도달한다.	3
그림 (가) 는 마이크의 내부 구조를 나타낸 것으로 소리에 의해 진동판과 코일이 진동한다. 그림 (나) 는 (가) 에서 자석의 윗면과 코일 사이의 거리 d를 시간에 따라 나타낸 것이다. t3일 때 코일에는 화살표 방향으로 유도 전류가 흐른다.	5
"그림 (가) 는 단색광이 매질 A, B의 경계면에서 전반사한 후 매질 A, C의 경계면에서 반사와 굴절하는 모습을, (나) 는 (가)의 A, B, C 중 두 매질로 만든 광섬유의 구조를 나타낸 것이다."	6
"그림 (가) 는 보어의 수소 원자 모형에서 양자수 n=2,3,4인 전자의 궤도 일부와 전자의 전이 a, b를 나타낸 것이다 그림 (나)는 수소 기체의 스펙트럼이다. ㄴ은 a에 의해 나타난 스펙트럼선이다."	4
"그림과 같이 수평면에서 +x 방향의 속력 7m/s로 운동하던 물체 A가 정지해 있던 물체 B와 충돌한 후 -x 방향으로 운동하여 높이가 0.2m인 최고점까지 올라갔다. A, B의 질량은 각각 1kg, 3kg이고, 충돌 후 B의 속력은 v이다."	1
"그림은 금속판에 광원 A 또는 B에서 방출된 빛을 비추는 모습을 나타낸 것으로, A, B에서 방출된 빛의 파장은 각각 lambda A, lambda B이다. 표는 광원의 종류와 개수에 따라 금속판에서 단위 시간당 방출되는 광전자의 수 N을 나타낸 것이다."	7
"그림과 같이 전지, 저항, 동일한 p-n 접합 다이오드 A, B로 구성한 회로에서 A에는 전류가 흐르고, B에는 전류가 흐르지 않는다. X, Y는 저마늄(Ge)에 원자가 전자가 각각 x개, y개인 원소를 도핑한 반도체이다."	4
"그림 (가)는 철 바늘을 물 위에 띄웠더니 회전하여 북쪽을 가리키는 모습을, (나)는 플라스틱 빨대에 자석을 가까이 하였더니 빨대가 자석으로부터 멀어지는 모습을 나타낸 것이다."	5
"그림과 같이 수평면에 놓인 물체 A, B에 각각 수평면과 나란하게 서로 반대 방향으로 힘 FA, FB가 작용하고 있다. 질량은 B가 A의 2배이다. 표는 FA, FB의 크기에 따라 B가 A에 작용하는 힘 f의 크기를 나타낸 것이다."	1
다음은 충돌에 대한 실험이다	1
"그림은 일정량의 이상 기체의 상태가 A → B → C → A로 한 번 순환하는 동안 W의 일을 하는 열기관에서 기체의 압력과 부피를 나타낸 것이다. A → B 과정과 B → C 과정에서 기체가 흡수한 열량은 각각 Q1, Q2이다"	2
그림은 어떤 전기밥솥에서 수증기의 양을 조절하는 데 사용되는 밸브의 구조를 나타낸 것이다 스위치 S가 열리면 금속 봉 P가 관을 막고 S가 닫히면 솔레노이드로부터 P가 위쪽으로 힘 F를 받아 관이 열린다.	5
"그림 (가)는 물체 A와 실로 연결된 물체 B에 수평 방향으로 힘 F와 실이 당기는 힘 T가 작용하는 모습을, (나)는 (가)에서 F의 크기를 시간에 따라 나타낸 것이다. A, B는 0~2초 동안 정지해 있다. F의 방향은 0~4초 동안 일정하고, T의 크기는 3초일 때가 5초일 때의 4배이다."	1
"그림과 같이 실로 연결된 채 두 빗면에서 속력 v로 각각 등속도 운동을 하던 물체 A, B가 수평선 P를 동시에 지나는 순간 실이 끊어졌으며, 이후 각각 등가속도 직선 운동을 하여 수평선 Q를 동시에 지났다. A, B의 질량은 각각 m, 5m이고, 두 빗면의 기울기는 같으며, B는 빗면으로부터 일정한 마찰력을 받는다."	2
"그림은 물질의 자성에 대해 학생 A, B, C가 발표하는 모습을 나타낸 것이다."	5
"그림 A, B, C는 충격량과 관련된 예를 나타낸 것이다."	1
"그림은 스마트폰에서 쓰이는 파동 A, B, C를 나타낸 것이다"	6
"그림 (가)는 t=0일 때, 일정한 속력으로 x축과 나란하게 진행하는 파동의 변위 y를 위치 x에 따라 나타낸 것이다. 그림 (나)는 x=2cm에서 y를 시간 t에 따라 나타낸 것이다"	6
"다음은 물질 A, B, C의 전기 전도도를 알아보기 위한 탐구이다"	4
다음은 핵융합 반응로에서 일어날 수 있는 수소 핵융합 반응식이다	3
"그림은 동일 직선상에서 운동하는 물체 A, B의 위치를 시간에 따라 나타낸 것이다"	1
"그림은 보어의 수소 원자 모형에서 양자수 n에 따른 에너지 준위의 일부와 전자의 전이 a, b, c, d를 나타낸 것이다"	4
"그림은 수평면과 나란하고 크기가 F인 힘으로 물체 A, B를 벽을 향해 밀어 정지한 모습을 나타낸 것이다. A, B의 질량은 각각 2m, m이다"	1
"그림 (가)는 수평면 위의 질량이 8m인 수레와 질량이 각각 m인 물체 2개를 실로 연결하고 수레를 잡아 정지한 모습을, (나)는 (가)에서 수레를 가만히 놓은 뒤 시간에 따른 수레의 속도를 나타낸 것이다. 1초일 때, 물체 사이의 실 p가 끊어졌다"	1
"그림은 관찰자 A에 대해 관찰자 B가 탄 우주선이 0.6c의 속력으로 직선 운동하는 모습을 나타낸 것이다. B의 관성계에서 광원과 거울 사이의 거리는 L이고, 광원에서 우주선의 운동 방향과 수직으로 발생시킨 빛은 거울에서 반사되어 되돌아온다"	3
그림은 주사 전자 현미경의 구조를 나타낸 것이다	7
"그림은 빛의 간섭 현상을 알아보기 위한 실험을 나타낸 것이다. 스크린상의 점 O는 밝은 무늬의 중심이고, 점 P는 어두운 무늬의 중심이다"	6
"그림과 같이 단색광 P가 공기로부터 매질 A에 theta i로 입사하고 A와 매질 C의 경계면에서 전반사하여 진행한 뒤, 매질 B로 입사한다. 굴절률은 A가 B보다 작다. P가 A에서 B로 진행할 때 굴절각은 theta B이다"	6
"그림은 열기관에서 일정량의 이상 기체의 상태가 A→B→C→D→A 를 따라 변할 때 기체의 압력과 부피를, 표는 각 과정에서 기체가 외부에 한 일 또는 외부로부터 받은 일을 나타낸 것이다. 기체는 A→B과정에서 250J의 열량을 흡수하고, B→C과정과 D→A과정은 열 출입이 없는 단열 과정이다."	2
"그림 (가)는 무선 충전기에서 스마트폰의 원형 도선에 전류가 유도되어 스마트폰이 충전되는 모습을, (나)는 원형 도선을 통과하는 자기 선속 Pi를 시간 t에 따라 나타낸 것이다"	5
"그림과 같이 우주 공간에서 점 O를 향해 질량이 각각 m인 물체 A, B와 질량이 2m인 우주인이 v0의 일정한 속도로 운동한다. 우주인은 O에 도착하는 속도를 줄이기 위해 O를 향해 A, B의 순서로 물체를 하나씩 민다. A, B를 모두 민 후에, 우주인의 속도는 1/3v0이 되고, A와 B는 속도가 서로 같으며 충돌하지 않는다."	1
"그림 (가)와 같이 무한히 긴 직선 도선 A, B, C가 같은 종이면에 있다. A, B, C에는 세기가 각각 4I0, 2I0, 5I0인 전류가 일정하게 흐른다. A와 B는 고정되어 있고, A와 B에 흐르는 전류의 방향은 서로 반대이다. 그림 (나)는 C를 x=-d와 x=d 사이의 위치에 놓을 때, C의 위치에 따른 점 p에서의 A, B, C에 흐르는 전류에 의한 자기장을 나타낸 것이다. 자기장의 방향은 종이면에서 수직으로 나오는 방향이 양(+)이다"	5
"그림 (가), (나), (다)는 점전하 A, B, C가 x축 상에 고정되어 있는 세 가지 상황을 나타낸 것이다. (가)에서는 양(+)전하인 C에 +x방향으로 크기가 F인 전기력이, A에는 크기가 2F인 전기력이 작용한다. (나)에서는 C에 +x방향으로 크기가 2F인 전기력이 작용한다"	4
"그림 (가)는 물체 A와 실로 연결된 물체 B를 원래 길이가 L0인 용수철과 수평면 위에서 연결하여 잡고 있는 모습을, (나)는 (가)에서 B를 가만히 놓은 후, 용수철의 길이가 L까지 늘어나 A의 속력이 0인 순간의 모습을 나타낸 것이다. A, B의 질량은 각각 m이고, 용수철 상수는 k이다"	2
그림과 같이 수영 선수가 점 p에서 점 q까지 곡선 경로를 따라 이동한다.	1
그림은 직선 도로에서 정지해 있던 자동차가 시간 t=0일 때 기준선 P에서 출발하여 기준선 R까지 등가속도 직선 운동하는 모습을 나타낸 것이다.	1
다음은 전하 결합 소자(CCD)에 대한 설명이다.	7
그림은 지면 위에 있는 받침대에 의해 지구본이 공중에 떠 정 지해 있는 모습을 나타낸 것이다. 받침대와 지구본의 무게는 각 각 w로 같다.	1
"그림 (가)와 같이 단열된 실린더와 두 단열된 피스톤에 의해 분리되어 있는 일정량의 이상 기체 A, B, C가 있다. 두 피스톤 은 정지해 있다. 그림 (나)는 (가)의 B에 열을 서서히 가하여 B 의 상태를 a → b 과정을 따라 변화시킬 때 B의 압력과 부피를 나타낸 것이다. b에서 두 피스톤은 정지 상태에 있다."	2
"그림 (가)와 (나)는 빗면에서 물체 A를 각각 수평면으로부터 높이 h, 4h 인 지점에 가만히 놓았을 때 A가 빗면을 따라 내려와 수평면에서 정지한 물체 B와 충돌한 후 A와 B가 동일 직선 상에서 운동하는 모습을 나타낸 것이다. (가)와 (나)에서 충돌 후 A의 속력은 각각 v, 2v 이다. A와 B의 질량은 각각 2m, m 이다"	1
다음은 용수철 진자의 역학적 에너지 감소에 관한 실험이다.	2
"그림은 고열원에서 Q1의 열을 흡수하여 W의 일을 하고 저열원으로 Q2 의 열을 방출하 는 열기관을 모식적으로 나타낸 것이다. 표는 이 열기관에서 두 가지 상황 A, B의 Q1, W, Q2를 나타낸 것이다. 열기관의 열효율은 일정하다. ㉠ : ㉡은?"	2
"그림과 같이 무한히 긴 직선 도선 A, B가 xy평면에 각각 x=-d, x=d인 점에 수직으로 고정되어 있다. A, B에 흐르는 전류의 세기는 각각 IA, IB 이고, 점 p, q, r는 x축상의 점이다. 표는 원점 O와 p에서 자기장의 세기와 방향을 나타낸 것이다"	5
"그림은 보어의 수소 원자 모형에서 양자수 n에 따른 에너지 준위와 전자의 전이 P, Q, R를 나타낸 것이다. 표는 양자수 n에 따른 핵과 전자 사이의 거리, 핵과 전자 사이에 작용하는 전기력의 크기를 나타낸 것이다."	4
"그림 (가)와 같이 자화되어 있지 않은 자성체 A와 B를 각각 막대자석에 가까이 하였더니, A와 자석 사이에는 서로 미는 자기력이 작용하였고 B와 자석 사이에는 서로 당기는 자기력이 작용하였다. 그림 (나)와 같이 (가)에서 막대자석을 치운 후 A 와 B를 가까이 하였더니, A와 B 사이에는 자기력이 작용하였다. 그림 (다)는 실에 매달린 막대자석 연직 아래의 수평한 지면 위에 A를 놓은 것을 나타낸 것이다"	5
그림은 온도 T0에서 반도체 A의 에너지띠 구조를 나타낸 것이다.	4
